family,model,MAPE,WMAPE,bias,safety_stock,reorder_point,stockout_units,fill_rate,total_cost
BEVERAGES,Prophet,0.12449915389493725,0.1288084110012525,-0.017956249671449702,59129.41420418446,564109.6457254295,108506.70854914097,0.986853750835324,588965.5811528866
BEVERAGES,Seasonal naive,0.11488750746071,0.1212792458399985,0.004872071005985898,59090.60215775632,576239.1021577563,84247.79568448733,0.9897928660038434,599882.0919419808
BEVERAGES,XGBoost,0.09684074657012376,0.1026665153841677,-0.017318724252103353,49167.73294153638,554822.129670052,135113.61098984408,0.9836301624170344,599481.7119784247
BREAD/BAKERY,Prophet,0.09877655211089108,0.09700636190305133,0.0628029150081166,5331.247528714334,88940.68230392833,2523.8906960716668,0.9979966970818672,73470.6953377671
BREAD/BAKERY,Seasonal naive,0.07928966511994477,0.0832291528142498,-0.0008179334068884999,6451.974284243878,85102.57053424387,7828.33039726837,0.9937863723047256,64442.702725346375
BREAD/BAKERY,XGBoost,0.19069248014557616,0.18809098389423412,0.16355615217242692,8292.371344311363,99917.69867585434,0.0,1.0,129010.84388478428
CLEANING,Prophet,0.10634340821178857,0.10913010787152765,-0.009467856178574126,15320.314450250771,166994.92791805114,50413.28832779545,0.9794322142370728,214212.2739114057
CLEANING,Seasonal naive,0.12325543881362655,0.13185899186612596,-0.03646047467175515,18966.23443977707,166330.23443977706,53072.06224089174,0.9783474785641874,216738.10912884717
CLEANING,XGBoost,0.11162668533609647,0.11347730302930005,0.013795089140505052,16347.019385208276,171401.08823286454,32788.647068541846,0.9866227756464326,197468.8647151148
DAIRY,Prophet,0.0919949665891065,0.09361704572320785,0.011379337968692475,11853.56661955027,154187.8895322414,28230.220935517224,0.987481177152366,158467.45057901723
DAIRY,Seasonal naive,0.09366028199438087,0.1002104081571571,0.0008739319781633495,13985.116317383148,154873.61631738316,26858.76736523368,0.9880893546203836,159084.60468564485
DAIRY,XGBoost,0.10257616696268129,0.10798979740762527,0.0598610518545653,13224.924052182616,162292.7819013037,12437.218098696292,0.99448465775558,166741.29117923704
GROCERY I,Prophet,0.10230077327146805,0.10611268587595227,-0.0004883806867613267,58362.89280187874,669157.3815173215,161498.85544803564,0.9835041048055452,778083.6967998839
GROCERY I,Seasonal naive,0.1127096111739002,0.11983445468203427,-0.03247687306785872,65956.64085687674,657642.6408568767,196043.0774293698,0.9799756719643512,794780.0707575287
GROCERY I,XGBoost,0.11091773842418715,0.11859614394337584,-0.06298777250640068,60614.14087952471,632632.6047467123,292742.581013151,0.9700985439063936,881967.7019624935
MEATS,Prophet,0.14105705458425508,0.1349906910636703,0.023677564286208524,7505.088680068362,71069.48427653043,0.0,1.0,58858.85129857045
MEATS,Seasonal naive,0.10265111343692343,0.10624462929313733,-0.016812034080925676,5828.250350712511,66809.36135071251,6648.292947862461,0.9933014202647816,50625.65134146686
MEATS,XGBoost,0.38908021737886783,0.3623817278897767,0.35267729173714496,10533.283343527855,94501.32963869387,0.0,1.0,190077.1853266857
POULTRY,Prophet,0.09874795606304784,0.1093746619436528,-0.05630734599366645,7240.934518744024,76033.6869511341,29375.03314659768,0.974845185740282,95560.36867085556
POULTRY,Seasonal naive,0.11936832410411663,0.12941869264564523,-0.006914939579078076,8879.076092250274,81274.45284225026,13652.735473249204,0.9883087102148028,87961.25812873711
POULTRY,XGBoost,0.30384513779889855,0.2950656948088663,0.27453242758992835,11993.255782614468,105059.46824599335,0.0,1.0,189073.4160275629
PRODUCE,Prophet,0.1772696630231074,0.1765159077040921,-0.05094698347690962,56491.27017094717,439945.6965493011,17836.998901397834,0.9972507109503782,288497.3497443711
PRODUCE,Seasonal naive,0.09352081769682492,0.09759719477183686,-0.0009555125441418257,35409.815519878735,440330.5110198788,17067.369960242446,0.9973693369833722,288843.682767891
PRODUCE,XGBoost,0.12163506238274577,0.11797157089164736,0.05546245732897857,35652.367549983086,463066.43761834246,0.0,1.0,376056.5523127179
