fold,family,model,MAPE,WMAPE,bias
0,BEVERAGES,Seasonal naive,0.09600967760385538,0.11256289377282377,-0.011052869943417103
0,BEVERAGES,Prophet,0.12649575817885383,0.15189713906763297,-0.1296297725218232
0,BEVERAGES,XGBoost,0.09296384267122394,0.11156329736906725,-0.06756895921196707
0,BREAD/BAKERY,Seasonal naive,0.08566764743055892,0.09542057917074873,-0.02649061396095256
0,BREAD/BAKERY,Prophet,0.10770188177912214,0.10629925342636323,0.0521135526446069
0,BREAD/BAKERY,XGBoost,0.2218029767963026,0.21958256704928497,0.18080512881636163
0,CLEANING,Seasonal naive,0.11670932331493843,0.12433590485065665,-0.06007999564475273
0,CLEANING,Prophet,0.10163827085933766,0.10700000475085535,-0.03083335305123403
0,CLEANING,XGBoost,0.10966874378610643,0.1154619290392917,-0.017199136175932776
0,DAIRY,Seasonal naive,0.09967996045122286,0.10938097089443376,-0.0169901541508412
0,DAIRY,Prophet,0.10496806385415813,0.1106515961738835,-0.011993225539266445
0,DAIRY,XGBoost,0.1157456699669005,0.12205933449137533,0.04199138272727197
0,GROCERY I,Seasonal naive,0.10831314080672594,0.12081565304091717,-0.05463404937935538
0,GROCERY I,Prophet,0.09882060641559114,0.10623615002561271,-0.02577121503443472
0,GROCERY I,XGBoost,0.12612907163540885,0.1386127186869731,-0.07852737643436382
0,MEATS,Seasonal naive,0.10066060395944545,0.09576322272252445,-0.010785941956502452
0,MEATS,Prophet,0.09158932557411784,0.09060834005626021,-0.003053208515368233
0,MEATS,XGBoost,0.3683261811919419,0.34489626644167287,0.3210381337058738
0,POULTRY,Seasonal naive,0.13682093406363718,0.14819534512121704,0.020054188352525426
0,POULTRY,Prophet,0.10784267490128688,0.11785326986239876,-0.06708687409647847
0,POULTRY,XGBoost,0.2830144793750938,0.28018129393560964,0.23335523119600704
0,PRODUCE,Seasonal naive,0.09590069201584915,0.10322879570321634,-0.04519318638632723
0,PRODUCE,Prophet,0.29479070330610285,0.3001911171257641,-0.3001911171257641
0,PRODUCE,XGBoost,0.13516208769984933,0.12941551687350927,0.056123943580727476
1,BEVERAGES,Seasonal naive,0.11747042063352484,0.12676034502648525,-0.07349345015997852
1,BEVERAGES,Prophet,0.10817522929876955,0.12801879203927466,-0.08944056362521316
1,BEVERAGES,XGBoost,0.1125202237564128,0.12408839020964321,-0.08411928900983855
1,BREAD/BAKERY,Seasonal naive,0.0732335663401633,0.07600724527832474,-0.009894193907953028
1,BREAD/BAKERY,Prophet,0.08882013796457679,0.08646179086700605,0.0419915656196716
1,BREAD/BAKERY,XGBoost,0.21037339868784266,0.2048194559455742,0.18649151378247755
1,CLEANING,Seasonal naive,0.12102937700813723,0.12509902177238635,0.03873715197671438
1,CLEANING,Prophet,0.11302082432361195,0.11665726518513087,0.0035290544789229046
1,CLEANING,XGBoost,0.11584701759074242,0.1170581250310089,0.04432092240641512
1,DAIRY,Seasonal naive,0.08756185507231529,0.09384646628757108,-0.028818034118602762
1,DAIRY,Prophet,0.10526087909780091,0.10902195515572961,-0.0060337023116055185
1,DAIRY,XGBoost,0.08645866346022413,0.09147013114972584,0.01371312372541802
